Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Vanuatu,Constitutional Agencies,Judiciary,Island Courts,Malekula Island Court,1975068,,,,,1975068
Vanuatu,Constitutional Agencies,Judiciary,Island Courts,Tongoa Island Court,1719196,,,,,1719196
Vanuatu,Constitutional Agencies,Judiciary,Island Courts,Ambrym Island Court,1934218,,,,,1934218
Vanuatu,Constitutional Agencies,Judiciary,Island Courts,Epi Island Court,1814798,,,,,1814798
Vanuatu,Constitutional Agencies,Judiciary,Island Courts,Banks Torres Island Court,1846003,,,,,1846003
Vanuatu,Constitutional Agencies,Judiciary,Land Courts,Efate Island Court,564500,,,,,564500
Vanuatu,Constitutional Agencies,Judiciary,Land Courts,Santo Malo Island Court,491000,,,,,491000
Vanuatu,Constitutional Agencies,Judiciary,Land Courts,Tanna Island Court,492500,,,,,492500
Vanuatu,Constitutional Agencies,Judiciary,Land Courts,Ambae Island Court,420675,,,,,420675
Vanuatu,Constitutional Agencies,Judiciary,Land Courts,Pentecost Island Court,466000,,,,,466000
Vanuatu,Constitutional Agencies,Judiciary,Land Courts,Malekula Island Court,457500,,,,,457500
Vanuatu,Constitutional Agencies,Judiciary,Land Courts,Tongoa Island Court,441150,,,,,441150
Vanuatu,Constitutional Agencies,Judiciary,Land Courts,Erromango Island Court,417500,,,,,417500
Vanuatu,Constitutional Agencies,Judiciary,Land Courts,Banks Torres Island Court,417500,,,,,417500
Vanuatu,Constitutional Agencies,Judiciary,Land Courts,Land Appeals,620050,,,,,620050
Vanuatu,Constitutional Agencies,Judiciary,Land Courts,,4788375,,,,,4788375
Vanuatu,Constitutional Agencies,Judiciary,Enforcement,Sheriff Office,6824106,,,,,6824106
Vanuatu,Constitutional Agencies,Judiciary,Judicial Development & Training,Judicial Development & Training,3019375,,,,,3019375
Vanuatu,Constitutional Agencies,Judiciary,Judicial Development & Training,Staff Training & Development,1220000,,,,,1220000
Vanuatu,Constitutional Agencies,Judiciary,Case Management,Case Management Support,852500,,,,,852500
Vanuatu,Constitutional Agencies,Judiciary,Case Management,,852500,,,,,852500
Vanuatu,Constitutional Agencies,Public Service Commission,Corporate Services Unit,,41888415,,,,,41888415
Vanuatu,Constitutional Agencies,Public Service Commission,Human Resource Management,,17562689,,,,,17562689
Vanuatu,Constitutional Agencies,Public Service Commission,Performance Improvement Unit,,12673143,,,,,12673143
Vanuatu,Constitutional Agencies,Public Service Commission,Human Resource Development,,16552000,,,,,16552000
Vanuatu,Constitutional Agencies,Public Service Commission,Public Service Legal Unit,,6692703,,,,,6692703
Vanuatu,Constitutional Agencies,Citizenship Commission,Citizenship Commission,Citizenship Commission,4057324,,,,,4057324
Vanuatu,Constitutional Agencies,Judicial Service Commission,Decision Making,,338000,,,,,338000
Vanuatu,Constitutional Agencies,Judicial Service Commission,Administrative Support Services,,528830,,,,,528830
Vanuatu,Prime Ministers Ministry,Strategic Management,Policy Sectors,,35241081,,,,,35241081
Vanuatu,Prime Ministers Ministry,Strategic Management,Aid Coordination Unit,,10999546,,,,,10999546
Vanuatu,Prime Ministers Ministry,Strategic Management,Monitoring & Evaluation Unit,,12269761,,,,,12269761
Vanuatu,Prime Ministers Ministry,Strategic Management,Vanuatu Project Management Unit (VPMU),,25432586,,,,,25432586
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Commisioner's Office,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Corporate Services Unit,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Joint Planning Operation Center,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Special Branch,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Joint Command Operation,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Transnational Crime Unit,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Oversea Missions,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Police Recruit,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Police College,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Luganville General Duty Policing,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Northern Command HQ,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Northern,Luganville CID & SB,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Northern,Torba Police,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Central,Central Command HQ,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Central,Malampa Police,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Central,Penama Police,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Central,Port Vila VIP Security,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Northern,Southern Command HQ,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Port Vila General Duty Policing,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Port Vila CID,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Port Vila Prosecution,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Port Vila Traffic,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Tafea Police Station,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Shepherd's Police,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Mobile Force HQ,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Surveillance and Response Force,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Fire Services,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Supplier and Armory,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Band,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Workshop,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Engineering,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Luganville Detechment,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,RVS Mala Base,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police Maritime Wing,RVS Tukoro,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police Maritime Wing,Luganville Detechment,0,,,,,0
Vanuatu,Prime Ministers Ministry,Office of the Prime Minister,Cabinet,,58449042,,,,,58449042
Vanuatu,Prime Ministers Ministry,Office of the Prime Minister,Independence Celebrations,,970000,,,,,970000
Vanuatu,Prime Ministers Ministry,Office of the Prime Minister,International Travel,,10628083,,,,,10628083
Vanuatu,Prime Ministers Ministry,Office of the Prime Minister,Entertainment Fund,,1940000,,,,,1940000
Vanuatu,Prime Ministers Ministry,Office of the Prime Minister,Local Travel,,1705000,,,,,1705000
Vanuatu,Prime Ministers Ministry,Director General's Office,PMO Corporate Services,,20783603,,,,,20783603
Vanuatu,Prime Ministers Ministry,Director General's Office,Utilities,,5199200,,,,,5199200
Vanuatu,Prime Ministers Ministry,Director General's Office,Community Development Fund,,9966667,,,,,9966667
Vanuatu,Prime Ministers Ministry,Language Services,Language Services,,20491940,,,,,20491940
Vanuatu,Prime Ministers Ministry,Language Services,Training & Language Awareness,,0,,,,,0
Vanuatu,Prime Ministers Ministry,Language Services,Administration,,8213286,,,,,8213286
Vanuatu,Prime Ministers Ministry,Information Communication and Technology Policy and Administration,Administration & Operations,,214244706,,,,,214244706
Vanuatu,Prime Ministers Ministry,Information Communication and Technology Policy and Administration,Government Broadband Network,,66199523,,,,,66199523
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,,201170506,,,,,201170506
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Northern,Sanma Police,0,,,,,0
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Central,,39939947,,,,,39939947
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,,194973148,,,,,194973148
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,,216204089,,,,,216204089
Vanuatu,Prime Ministers Ministry,Internal Security and Border Control,Police Maritime Wing,Maritime Surveillance,0,,,,,0
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Director General's Division,Office of the Director General,8466217,,,,,8466217
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Director General's Division,Internal Audit Unit,9188089,,,,,9188089
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Director General's Division,Human Resource Management Unit,6467023,,,,,6467023
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Director General's Division,Office of the Director of Administration & Finance,0,,,,,0
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Administration & Finance Division,Finance Unit,14706747,,,,,14706747
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Administration & Finance Division,Training and Scholarship Coordination Unit,13605221,,,,,13605221
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Administration & Finance Division,Administration Unit,9612051,,,,,9612051
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Administration & Finance Division,Procurement & Assets Unit,3864515,,,,,3864515
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Administration & Finance Division,Policy and Planning Unit,0,,,,,0
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Policy & Planning Division,Office of the Director of Policy and Planning,5952954,,,,,5952954
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Policy & Planning Division,Facilities Unit,6451524,,,,,6451524
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Policy & Planning Division,Information and Communication Technology Unit,19227201,,,,,19227201
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Policy & Planning Division,VEMIS Unit,6262565,,,,,6262565
Vanuatu,Ministry of Education,Executive Management and Corporate Services,Policy & Planning Division,Human Resource Development,2292658,,,,,2292658
Vanuatu,Ministry of Education,School Administration Division,Office of the Director of School Administration,,8452500,,,,,8452500
Vanuatu,Ministry of Education,School Administration Division,Primary Education Unit,,13826647,,,,,13826647
Vanuatu,Ministry of Education,School Administration Division,Secondary Education Unit,,6367806,,,,,6367806
Vanuatu,Ministry of Education,School Administration Division,Early Childhood Education Unit,,2920543,,,,,2920543
Vanuatu,Ministry of Education,School Administration Division,Torba Provincial Education Office,,10116381,,,,,10116381
Vanuatu,Ministry of Education,School Administration Division,Sanma Provincial Education Office,,11297133,,,,,11297133
Vanuatu,Ministry of Education,School Administration Division,Penama Provincial Education Office,,12802765,,,,,12802765
Vanuatu,Ministry of Education,School Administration Division,Malampa Provincial Education Office,,12307787,,,,,12307787
Vanuatu,Ministry of Education,School Administration Division,Shefa Provincial Education Office,,14510343,,,,,14510343
Vanuatu,Ministry of Education,School Administration Division,Tafea Provincial Education Office,,13338574,,,,,13338574
Vanuatu,Ministry of Education,School Administration Division,Government Assisted Education Authority Unit,,6146562,,,,,6146562
Vanuatu,Ministry of Education,School Administration Division,Training & Scholarship Coordination Unit,,0,,,,,0
Vanuatu,Ministry of Education,School Administration Division,Technical & Higher Education Unit,,17502496,,,,,17502496
Vanuatu,Ministry of Education,Secondary Schools Division,Torba Secondary Schools,,17784494,,,,,17784494
Vanuatu,Ministry of Education,Secondary Schools Division,Sanma Secondary Schools,,159066016,,,,,159066016
Vanuatu,Ministry of Education,Secondary Schools Division,Penama Secondary Schools,,48566269,,,,,48566269
Vanuatu,Ministry of Education,Secondary Schools Division,Malampa Secondary Schools,,122064488,,,,,122064488
Vanuatu,Ministry of Education,Secondary Schools Division,Shefa Secondary Schools,,271578189,,,,,271578189
Vanuatu,Ministry of Education,Secondary Schools Division,Tafea Secondary School,,95104027,,,,,95104027
Vanuatu,Ministry of Education,Secondary Schools Division,Catholic Secondary Schools,,170891714,,,,,170891714
Vanuatu,Ministry of Education,Secondary Schools Division,Protestant Secondary Schools,,28836998,,,,,28836998
Vanuatu,Ministry of Education,Secondary Schools Division,Apostolic Secondary Schools,,4826428,,,,,4826428
Vanuatu,Ministry of Education,Secondary Schools Division,SDA Secondary Schools,,44093433,,,,,44093433
Vanuatu,Ministry of Education,Secondary Schools Division,Church of Malanesia Secondary Schools,,30977987,,,,,30977987
Vanuatu,Ministry of Education,Secondary Schools Division,Church of Christ Secondary Schools,,21021891,,,,,21021891
Vanuatu,Ministry of Education,Secondary Schools Division,Prebyterian Secondary Schools,,25535656,,,,,25535656
Vanuatu,Ministry of Education,Secondary Schools Division,Secondary Schools Grant,,92560000,,,,,92560000
Vanuatu,Ministry of Education,Secondary Schools Division,Secondary Teachers Incidentals,,3395000,,,,,3395000
Vanuatu,Ministry of Education,Secondary Schools Division,Bahai'i Secondary Schools,,1774710,,,,,1774710
Vanuatu,Ministry of Education,Secondary Schools Division,VFF Academy Secondary Schools,,1587510,,,,,1587510
Vanuatu,Ministry of Education,Secondary Schools Division,NTM Secondary Schools,,3238918,,,,,3238918
Vanuatu,Ministry of Education,Secondary Schools Division,Secondary Teachers on Scholarship,,33786374,,,,,33786374
Vanuatu,Ministry of Education,Technical & Higher Education Division,Vanuatu Institute of Technology,,101922050,,,,,101922050
Vanuatu,Ministry of Education,Primary Schools Division,Torba Primary Schools,,59695846,,,,,59695846
Vanuatu,Ministry of Education,Primary Schools Division,Sanma Primary Schools,,213354624,,,,,213354624
Vanuatu,Ministry of Education,Primary Schools Division,Penama Primary Schools,,148448170,,,,,148448170
Vanuatu,Ministry of Education,Primary Schools Division,Malampa Primary Schools,,172292899,,,,,172292899
Vanuatu,Ministry of Education,Primary Schools Division,Shefa Primary Schools,,363915448,,,,,363915448
Vanuatu,Ministry of Education,Primary Schools Division,Tafea Primary Schools,,174218294,,,,,174218294
Vanuatu,Ministry of Education,Primary Schools Division,Catholic Primary Schools,,262673487,,,,,262673487
Vanuatu,Ministry of Education,Primary Schools Division,Protestant Primary Schools,,39497599,,,,,39497599
Vanuatu,Ministry of Education,Primary Schools Division,Apostolic Primary Schools,,2442694,,,,,2442694
Vanuatu,Ministry of Education,Primary Schools Division,SDA Primary Schools,,29659641,,,,,29659641
Vanuatu,Ministry of Education,Primary Schools Division,Schools Solar Panel Maintenance,,0,,,,,0
Vanuatu,Ministry of Education,Primary Schools Division,Provincial Education Office Maintenance,,2910000,,,,,2910000
Vanuatu,Ministry of Education,Primary Schools Division,Pre Schools Grant,,4000000,,,,,4000000
Vanuatu,Ministry of Education,Primary Schools Division,Primary Schools Grant,,252890663,,,,,252890663
Vanuatu,Ministry of Education,Primary Schools Division,Primary Teachers Incidentials,,5852835,,,,,5852835
Vanuatu,Ministry of Education,Primary Schools Division,Church of Melanesia Primary Schools,,3244605,,,,,3244605
Vanuatu,Ministry of Education,Primary Schools Division,Presbyterian Primary Schools,,7130345,,,,,7130345
Vanuatu,Ministry of Education,Primary Schools Division,Neil Thomas Ministry Primary Schools,,3321785,,,,,3321785
Vanuatu,Ministry of Education,Primary Schools Division,VFF Academy Primary Schools,,3426921,,,,,3426921
Vanuatu,Ministry of Education,Primary Schools Division,Primary Teachers on Scholarship,,9666011,,,,,9666011
Vanuatu,Ministry of Education,School Support Services Division,Curriculum Development Unit,,0,,,,,0
Vanuatu,Ministry of Education,Technical & Higher Education Division,Vanuatu Institute of Teacher Education,,77267618,,,,,77267618
Vanuatu,Ministry of Education,Technical & Higher Education Division,In Service Unit,,23179516,,,,,23179516
Vanuatu,Ministry of Education,Technical & Higher Education Division,Vanuatu Government Scholarship Fund,,459515006,,,,,459515006
Vanuatu,Ministry of Education,Technical & Higher Education Division,Tafea Primary School,,0,,,,,0
Vanuatu,Ministry of Education,School Support Services Division,Examination & Assessment Unit,,23936061,,,,,23936061
Vanuatu,Ministry of Education,School Support Services Division,School Based Management Unit,,16077401,,,,,16077401
Vanuatu,Ministry of Education,School Support Services Division,Zone Curriculum Advisors,,82363752,,,,,82363752
Vanuatu,Ministry of Internal Affairs,Cabinet Support,Portfolio Management,,41043757,,,,,41043757
Vanuatu,Ministry of Internal Affairs,Cabinet Support,Corporate Services,,35316274,,,,,35316274
Vanuatu,Ministry of Internal Affairs,Cabinet Support,Independence Celebration,,7616500,,,,,7616500
Vanuatu,Ministry of Internal Affairs,Cabinet Support,Crime Prevention,,1846000,,,,,1846000
Vanuatu,Ministry of Internal Affairs,Decentralisation Services,Grants to Provinces,,254503820,,,,,254503820
Vanuatu,Ministry of Internal Affairs,Decentralisation Services,Grants to Municipalities,,17516840,,,,,17516840
Vanuatu,Ministry of Internal Affairs,Decentralisation Services,Administration of Regional Services,Corporate Services,14904163,,,,,14904163
Vanuatu,Ministry of Internal Affairs,Decentralisation Services,Administration of Regional Services,Development Planning,11024419,,,,,11024419
Vanuatu,Ministry of Internal Affairs,Decentralisation Services,Administration of Regional Services,Financial Services,3878323,,,,,3878323
Vanuatu,Ministry of Internal Affairs,Decentralisation Services,Administration of Regional Services,Physical & Urban Planning,4922052,,,,,4922052
Vanuatu,Ministry of Internal Affairs,Decentralisation Services,Administration of Regional Services,Decentralization Services Unit,5672500,,,,,5672500
Vanuatu,Ministry of Internal Affairs,Decentralisation Services,Administration of Regional Services,Legal Service Unit,3086322,,,,,3086322
Vanuatu,Ministry of Internal Affairs,Internal Security and Border Control,Border Control,,90188525,,,,,90188525
Vanuatu,Ministry of Internal Affairs,Internal Security and Border Control,Issue of Passports,,14919695,,,,,14919695
Vanuatu,Ministry of Internal Affairs,National Services,Labour Regulation,General Administration,17659513,,,,,17659513
Vanuatu,Ministry of Internal Affairs,National Services,Labour Regulation,Industrial Relations Unit,10216090,,,,,10216090
Vanuatu,Ministry of Internal Affairs,National Services,Labour Regulation,Occupational Health & Safety Unit,7181098,,,,,7181098
Vanuatu,Ministry of Internal Affairs,National Services,Labour Regulation,Manpower & Training Unit (ESU),11363963,,,,,11363963
Vanuatu,Ministry of Internal Affairs,National Services,Labour Regulation,Tripartite Labour Advisory Council,1736746,,,,,1736746
Vanuatu,Ministry of Internal Affairs,National Services,Labour Regulation,International Labour Conference,1761492,,,,,1761492
Vanuatu,Ministry of Internal Affairs,National Services,Labour Regulation,Travel & Subsistance,1291487,,,,,1291487
Vanuatu,Ministry of Internal Affairs,National Services,Electoral Services,Office Administration,19047067,,,,,19047067
Vanuatu,Ministry of Internal Affairs,National Services,Conduct of Elections,Election Management,0,,,,,0
Vanuatu,Ministry of Internal Affairs,National Services,Civil Registry,,17357629,,,,,17357629
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Ministry Executive & Internal Audit,Director - NSO,3122710,,,,,3122710
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Ministry Executive & Internal Audit,Office of the Director General,17343012,,,,,17343012
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Ministry Executive & Internal Audit,Internal Audit Section,11948367,,,,,11948367
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Ministry Executive & Internal Audit,Office of the Director General,0,,,,,0
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Ministry Executive & Internal Audit,Director - DOF,6522245,,,,,6522245
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Ministry Executive & Internal Audit,Director - Customs,10953327,,,,,10953327
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Corporate Services,NSO Office Admin,5055504,,,,,5055504
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Corporate Services,Ministry Executive,26323658,,,,,26323658
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Corporate Services,DOF Corporate Services Section,45816233,,,,,45816233
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Corporate Services,Customs Corporate Services,34647288,,,,,34647288
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Information Services,FMIS Section,50062602,,,,,50062602
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Information Services,Customs Information Services,37224180,,,,,37224180
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Economic Policy Development,,22338207,,,,,22338207
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Government Business Enterprise Unit,0,,,,,0
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Tender Board,7642750,,,,,7642750
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Budget Section,45488318,,,,,45488318
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Revenue Section,17430761,,,,,17430761
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Payroll Section,28303778,,,,,28303778
